test_subject,model,original_rmse,swing_phase_false_force_ratio
s001,PI-TCN,0.1927614063024521,0.6188222765922546
s001,tcn,0.2005939930677414,0.786449134349823
s002,PI-TCN,0.09970427304506302,0.5760809183120728
s002,tcn,0.10136287659406662,0.6751108169555664
s003,PI-TCN,0.08741685003042221,0.3702278137207031
s003,tcn,0.08700685203075409,0.2540886700153351
s004,PI-TCN,0.17029236257076263,0.12622039020061493
s004,tcn,0.19176439940929413,0.1786029189825058
s005,PI-TCN,0.23263214528560638,0.17783376574516296
s005,tcn,0.23298847675323486,0.3461417257785797
s006,PI-TCN,0.11071967333555222,0.5053004622459412
s006,tcn,0.12006424367427826,0.48967239260673523
s007,PI-TCN,0.10858570784330368,0.25414636731147766
s007,tcn,0.11563704162836075,0.24188806116580963
