metric,direction,n_folds,pi_better_folds,mean_paired_difference,median_paired_difference,sd_paired_difference,mean_percent_change_pi_vs_tcn
normalized_rmse,lower_is_better,7,5,-0.029467208044869558,-0.0271473228931427,0.036259970560255116,-4.239269482931695
normalized_mae,lower_is_better,7,6,-0.019370964595249722,-0.01629883050918579,0.0168596069325971,-4.41438104910837
normalized_r2,higher_is_better,7,5,0.04372589077268328,0.0303686261177063,0.05296894277171675,11.424126369636662
original_rmse,lower_is_better,7,6,-0.006757923534938267,-0.007051333785057068,0.007558652956199034,-4.328656747909284
original_mae,lower_is_better,7,6,-0.0046428585691111425,-0.003436952829360962,0.004241728090746257,-4.446994631364977
original_r2,higher_is_better,7,6,0.04241876942770822,0.027505218982696533,0.048290852402717105,12.913514978449399
negative_vgrf_ratio,lower_is_better,7,3,0.018787549143390998,0.008858505636453629,0.02961260245155383,31.82869136122706
negative_vgrf_magnitude,lower_is_better,7,2,0.0005557220844951059,0.000243863818468526,0.0007424381320222255,50.23848206877612
swing_false_force_ratio,lower_is_better,7,4,-0.04904596081801823,-0.05238252878189087,0.10489792055620818,-8.566959329842705
swing_false_force_magnitude,lower_is_better,7,4,-0.0014959579067570822,-0.000482410192489624,0.010865597904457607,-0.2445927985156008
stance_false_zero_ratio,lower_is_better,7,2,0.0032091577470834765,0.000696616480126977,0.011565654277308641,20.857194819843713
smoothness_index,lower_is_better,7,5,-6.309346645139158e-08,-1.3853605196345598e-06,5.3749653088946965e-06,-1.9538034352858948
peak_error,lower_is_better,7,6,-0.0037263653108051847,-0.004322461783885956,0.004482112913372276,-3.6106623427465325
