metric,tcn,pi_tcn,improvement_type,improvement
normalized_rmse,0.43415865302085876,0.41847094893455505,percent,3.61335746210499
normalized_mae,0.2762238085269928,0.2635451853275299,percent,4.589982039228862
normalized_r2,0.7600688934326172,0.7770947813987732,absolute,0.017025887966156006
original_rmse,0.10819349437952042,0.10517586022615433,percent,2.7891086896415898
original_mae,0.06885284185409546,0.06597936153411865,percent,4.173364878774264
original_r2,0.7963582277297974,0.8075593709945679,absolute,0.011201143264770508
negative_vgrf_ratio,0.15004606544971466,0.11908631771802902,percent,20.633495212882647
negative_vgrf_mean_magnitude,0.002520384732633829,0.001710587297566235,percent,32.129913524009766
swing_phase_false_force_ratio,0.14282023906707764,0.15398980677127838,percent,-7.820717691807526
swing_phase_false_force_mean,0.03362211585044861,0.036232274025678635,percent,-7.763218075983162
stance_phase_false_zero_ratio,0.0346047468483448,0.025745728984475136,percent,25.600585673099374
smoothness_index,5.7562025176594034e-05,5.3693998779635876e-05,percent,6.719753839604276
spike_count_per_window,0.0,0.0,percent,nan
peak_error,0.09026473015546799,0.09080938249826431,percent,-0.6033944175739966
